中国联通-北京-酒店,#genre#
天津卫视,http://124.128.73.58:9901/tsfile/live/0135_1.m3u8
北京卫视,http://124.128.73.58:9901/tsfile/live/0122_1.m3u8
广东卫视,http://124.128.73.58:9901/tsfile/live/0125_1.m3u8
湖北卫视,http://124.128.73.58:9901/tsfile/live/0132_1.m3u8
旅游卫视,http://124.128.73.58:9901/tsfile/live/0114_1.m3u8
吉林卫视,http://124.128.73.58:9901/tsfile/live/0116_1.m3u8
山西卫视,http://124.128.73.58:9901/tsfile/live/0118_1.m3u8
云南卫视,http://124.128.73.58:9901/tsfile/live/0119_1.m3u8
宁夏卫视,http://124.128.73.58:9901/tsfile/live/0112_1.m3u8
广西卫视,http://124.128.73.58:9901/tsfile/live/0113_1.m3u8
辽宁卫视,http://124.128.73.58:9901/tsfile/live/0121_1.m3u8
四川卫视,http://124.128.73.58:9901/tsfile/live/0123_1.m3u8
东南卫视,http://124.128.73.58:9901/tsfile/live/0137_1.m3u8
陕西卫视,http://124.128.73.58:9901/tsfile/live/0136_1.m3u8
重庆卫视,http://124.128.73.58:9901/tsfile/live/0142_1.m3u8
河南卫视,http://124.128.73.58:9901/tsfile/live/0139_1.m3u8
江西卫视,http://124.128.73.58:9901/tsfile/live/0138_1.m3u8
安徽卫视,http://124.128.73.58:9901/tsfile/live/0130_1.m3u8
深圳卫视,http://124.128.73.58:9901/tsfile/live/0126_1.m3u8
甘肃卫视,http://124.128.73.58:9901/tsfile/live/0141_1.m3u8
青海卫视,http://124.128.73.58:9901/tsfile/live/0140_1.m3u8
黑龙江卫视,http://124.128.73.58:9901/tsfile/live/0143_1.m3u8
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8
河北卫视,http://124.128.73.58:9901/tsfile/live/0117_1.m3u8
贵州卫视,http://124.128.73.58:9901/tsfile/live/0120_1.m3u8
西藏卫视,http://124.128.73.58:9901/tsfile/live/0111_1.m3u8
兵团卫视,http://124.128.73.58:9901/tsfile/live/0115_1.m3u8
内蒙古卫视,http://124.128.73.58:9901/tsfile/live/0109_1.m3u8
新疆卫视,http://124.128.73.58:9901/tsfile/live/0110_1.m3u8
齐鲁,http://124.128.73.58:9901/tsfile/live/1000_1.m3u8
山东体育,http://124.128.73.58:9901/tsfile/live/1001_1.m3u8
山东综艺,http://124.128.73.58:9901/tsfile/live/1002_1.m3u8
山东影视,http://124.128.73.58:9901/tsfile/live/1009_1.m3u8
济南综合,http://124.128.73.58:9901/tsfile/live/1003_1.m3u8
济南都市,http://124.128.73.58:9901/tsfile/live/1004_1.m3u8
济南影视,http://124.128.73.58:9901/tsfile/live/1005_1.m3u8
海看大片,http://124.128.73.58:9901/tsfile/live/1006_1.m3u8
中国联通-海南-酒店,#genre#
CCTV1,http://150.255.149.33:9901/tsfile/live/0001_1.m3u8
CCTV2,http://150.255.149.33:9901/tsfile/live/0002_1.m3u8
IPTV3,http://150.255.149.33:9901/tsfile/live/1002_1.m3u8
CCTV4,http://150.255.149.33:9901/tsfile/live/0004_1.m3u8
CCTV5,http://150.255.149.33:9901/tsfile/live/0005_1.m3u8
CCTV6,http://150.255.149.33:9901/tsfile/live/0006_1.m3u8
CCTV7,http://150.255.149.33:9901/tsfile/live/0007_1.m3u8
IPTV8,http://150.255.149.33:9901/tsfile/live/1007_1.m3u8
CCTV9,http://150.255.149.33:9901/tsfile/live/1008_1.m3u8
CCTV10,http://150.255.149.33:9901/tsfile/live/1009_1.m3u8
CCTV11,http://150.255.149.33:9901/tsfile/live/1010_1.m3u8
CCTV12,http://150.255.149.33:9901/tsfile/live/1011_1.m3u8
CCTV13,http://150.255.149.33:9901/tsfile/live/1012_1.m3u8
CCTV14,http://150.255.149.33:9901/tsfile/live/1013_1.m3u8
CCTV15,http://150.255.149.33:9901/tsfile/live/1014_1.m3u8
CGTN,http://150.255.149.33:9901/tsfile/live/1015_1.m3u8
旅游卫视,http://150.255.149.33:9901/tsfile/live/0114_1.m3u8
海南综合,http://150.255.149.33:9901/tsfile/live/1016_1.m3u8
海南新闻,http://150.255.149.33:9901/tsfile/live/1017_1.m3u8
海南公共,http://150.255.149.33:9901/tsfile/live/1018_1.m3u8
湖南卫视,http://150.255.149.33:9901/tsfile/live/0128_1.m3u8
浙江卫视,http://150.255.149.33:9901/tsfile/live/0124_1.m3u8
安徽卫视,http://150.255.149.33:9901/tsfile/live/0130_1.m3u8
北京卫视,http://150.255.149.33:9901/tsfile/live/0122_1.m3u8
天津卫视,http://150.255.149.33:9901/tsfile/live/0135_1.m3u8
辽宁卫视,http://150.255.149.33:9901/tsfile/live/0121_1.m3u8
山东卫视,http://150.255.149.33:9901/tsfile/live/0131_1.m3u8
上海卫视,http://150.255.149.33:9901/tsfile/live/0107_1.m3u8
广东卫视,http://150.255.149.33:9901/tsfile/live/0125_1.m3u8
广西卫视,http://150.255.149.33:9901/tsfile/live/0113_1.m3u8
湖北卫视,http://150.255.149.33:9901/tsfile/live/0132_1.m3u8
深圳卫视,http://150.255.149.33:9901/tsfile/live/0126_1.m3u8
云南卫视,http://150.255.149.33:9901/tsfile/live/0119_1.m3u8
河南卫视,http://150.255.149.33:9901/tsfile/live/0139_1.m3u8
黑龙江卫视,http://150.255.149.33:9901/tsfile/live/0143_1.m3u8
四川卫视,http://150.255.149.33:9901/tsfile/live/0123_1.m3u8
江西卫视,http://150.255.149.33:9901/tsfile/live/0138_1.m3u8
贵州卫视,http://150.255.149.33:9901/tsfile/live/0120_1.m3u8
重庆卫视,http://150.255.149.33:9901/tsfile/live/0142_1.m3u8
东南卫视,http://150.255.149.33:9901/tsfile/live/0137_1.m3u8
河北卫视,http://150.255.149.33:9901/tsfile/live/0117_1.m3u8
吉林卫视,http://150.255.149.33:9901/tsfile/live/0116_1.m3u8
陕西卫视,http://150.255.149.33:9901/tsfile/live/0136_1.m3u8
山西卫视,http://150.255.149.33:9901/tsfile/live/0118_1.m3u8
内蒙古卫视,http://150.255.149.33:9901/tsfile/live/0109_1.m3u8
青海卫视,http://150.255.149.33:9901/tsfile/live/0140_1.m3u8
宁夏卫视,http://150.255.149.33:9901/tsfile/live/0112_1.m3u8
海南影视,http://150.255.149.33:9901/tsfile/live/1019_1.m3u8
中国联通-云南-酒店,#genre#
CCTV1,http://119.62.36.174:9901/tsfile/live/0001_1.m3u8
CCTV2,http://119.62.36.174:9901/tsfile/live/0002_1.m3u8
CCTV3,http://119.62.36.174:9901/tsfile/live/0003_1.m3u8
CCTV4,http://119.62.36.174:9901/tsfile/live/0004_1.m3u8
CCTV5,http://119.62.36.174:9901/tsfile/live/0005_1.m3u8
CCTV6,http://119.62.36.174:9901/tsfile/live/0006_1.m3u8
CCTV7,http://119.62.36.174:9901/tsfile/live/0007_1.m3u8
CCTV8,http://119.62.36.174:9901/tsfile/live/0008_1.m3u8
CCTV9,http://119.62.36.174:9901/tsfile/live/0009_1.m3u8
CCTV10,http://119.62.36.174:9901/tsfile/live/0010_1.m3u8
CCTV11,http://119.62.36.174:9901/tsfile/live/0011_1.m3u8
CCTV12,http://119.62.36.174:9901/tsfile/live/0012_1.m3u8
CCTV13,http://119.62.36.174:9901/tsfile/live/0013_1.m3u8
CCTV14,http://119.62.36.174:9901/tsfile/live/0014_1.m3u8
CCTV15,http://119.62.36.174:9901/tsfile/live/0015_1.m3u8
都市,http://119.62.36.174:9901/tsfile/live/0128_1.m3u8
娱乐,http://119.62.36.174:9901/tsfile/live/0124_1.m3u8
公共,http://119.62.36.174:9901/tsfile/live/0127_1.m3u8
浙江卫视,http://119.62.36.174:9901/tsfile/live/0127_2.m3u8
江苏卫视,http://119.62.36.174:9901/tsfile/live/0130_1.m3u8
湖南卫视,http://119.62.36.174:9901/tsfile/live/0122_1.m3u8
上海卫视,http://119.62.36.174:9901/tsfile/live/0135_2.m3u8
北京卫视,http://119.62.36.174:9901/tsfile/live/0135_1.m3u8
天津卫视,http://119.62.36.174:9901/tsfile/live/0138_1.m3u8
安徽卫视,http://119.62.36.174:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://119.62.36.174:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://119.62.36.174:9901/tsfile/live/0121_1.m3u8
山东卫视,http://119.62.36.174:9901/tsfile/live/0143_1.m3u8
辽宁卫视,http://119.62.36.174:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://119.62.36.174:9901/tsfile/live/0123_1.m3u8
四川卫视,http://119.62.36.174:9901/tsfile/live/0139_2.m3u8
黑龙江卫视,http://119.62.36.174:9901/tsfile/live/0138_2.m3u8
东南卫视,http://119.62.36.174:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://119.62.36.174:9901/tsfile/live/0125_1.m3u8
广东卫视,http://119.62.36.174:9901/tsfile/live/0139_1.m3u8
河南卫视,http://119.62.36.174:9901/tsfile/live/0116_1.m3u8
吉林卫视,http://119.62.36.174:9901/tsfile/live/0118_1.m3u8
山西卫视,http://119.62.36.174:9901/tsfile/live/0136_1.m3u8
河北卫视,http://119.62.36.174:9901/tsfile/live/0113_1.m3u8
广西卫视,http://119.62.36.174:9901/tsfile/live/0109_1.m3u8
陕西卫视,http://119.62.36.174:9901/tsfile/live/0140_1.m3u8
甘肃卫视,http://119.62.36.174:9901/tsfile/live/0141_1.m3u8
青海卫视,http://119.62.36.174:9901/tsfile/live/0112_1.m3u8
内蒙古卫视,http://119.62.36.174:9901/tsfile/live/0109_2.m3u8
海南卫视,http://119.62.36.174:9901/tsfile/live/1003_1.m3u8
厦门卫视,http://119.62.36.174:9901/tsfile/live/0115_1.m3u8
金鹰卡通,http://119.62.36.174:9901/tsfile/live/1005_1.m3u8
优漫卡通,http://119.62.36.174:9901/tsfile/live/1007_1.m3u8
佳嘉卡通,http://119.62.36.174:9901/tsfile/live/1008_1.m3u8
哈哈炫动,http://119.62.36.174:9901/tsfile/live/1009_1.m3u8
北京卡通,http://119.62.36.174:9901/tsfile/live/1010_1.m3u8
中国联通-河南-酒店,#genre#
柘城有线,http://123.13.24.224:9992/tsfile/live/1098_1.m3u8
柘城新闻,http://123.13.24.224:9992/tsfile/live/1099_1.m3u8
CCTV1,http://123.13.24.224:9992/tsfile/live/0001_1.m3u8
CCTV2,http://123.13.24.224:9992/tsfile/live/0002_1.m3u8
CCTV3,http://123.13.24.224:9992/tsfile/live/0003_1.m3u8
CCTV4,http://123.13.24.224:9992/tsfile/live/0004_1.m3u8
CCTV5,http://123.13.24.224:9992/tsfile/live/0005_1.m3u8
CCTV6,http://123.13.24.224:9992/tsfile/live/0006_1.m3u8
CCTV7,http://123.13.24.224:9992/tsfile/live/0007_1.m3u8
CCTV8,http://123.13.24.224:9992/tsfile/live/0008_1.m3u8
CCTV9,http://123.13.24.224:9992/tsfile/live/0009_1.m3u8
CCTV10,http://123.13.24.224:9992/tsfile/live/0010_1.m3u8
CCTV11,http://123.13.24.224:9992/tsfile/live/0011_1.m3u8
CCTV12,http://123.13.24.224:9992/tsfile/live/0012_1.m3u8
CCTV13,http://123.13.24.224:9992/tsfile/live/0013_1.m3u8
CCTV14,http://123.13.24.224:9992/tsfile/live/0014_1.m3u8
CCTV15,http://123.13.24.224:9992/tsfile/live/0015_1.m3u8
CCTV17,http://123.13.24.224:9992/tsfile/live/0019_1.m3u8
CCTV5+,http://123.13.24.224:9992/tsfile/live/0016_1.m3u8
河南卫视,http://123.13.24.224:9992/tsfile/live/0139_1.m3u8
河南都市,http://123.13.24.224:9992/tsfile/live/1018_1.m3u8
河南民生,http://123.13.24.224:9992/tsfile/live/1019_1.m3u8
河南法制,http://123.13.24.224:9992/tsfile/live/1020_1.m3u8
河南电视剧,http://123.13.24.224:9992/tsfile/live/1021_1.m3u8
河南新闻,http://123.13.24.224:9992/tsfile/live/1022_1.m3u8
河南公共,http://123.13.24.224:9992/tsfile/live/1023_1.m3u8
河南新农村,http://123.13.24.224:9992/tsfile/live/1024_1.m3u8
晴彩中原,http://123.13.24.224:9992/tsfile/live/1025_1.m3u8
调解剧场,http://123.13.24.224:9992/tsfile/live/1026_1.m3u8
移动戏曲,http://123.13.24.224:9992/tsfile/live/1027_1.m3u8
文物宝库,http://123.13.24.224:9992/tsfile/live/1028_1.m3u8
河南梨园,http://123.13.24.224:9992/tsfile/live/1029_1.m3u8
河南武术世界,http://123.13.24.224:9992/tsfile/live/1030_1.m3u8
商丘新闻综合1,http://123.13.24.224:9992/tsfile/live/1031_1.m3u8
商丘公共2,http://123.13.24.224:9992/tsfile/live/1032_1.m3u8
商丘文体科教3,http://123.13.24.224:9992/tsfile/live/1033_1.m3u8
北京卫视,http://123.13.24.224:9992/tsfile/live/0122_1.m3u8
上海卫视,http://123.13.24.224:9992/tsfile/live/1035_1.m3u8
天津卫视,http://123.13.24.224:9992/tsfile/live/0135_1.m3u8
湖南卫视,http://123.13.24.224:9992/tsfile/live/0128_1.m3u8
江苏卫视,http://123.13.24.224:9992/tsfile/live/0127_1.m3u8
浙江卫视,http://123.13.24.224:9992/tsfile/live/0124_1.m3u8
山东卫视,http://123.13.24.224:9992/tsfile/live/0131_1.m3u8
安徽卫视,http://123.13.24.224:9992/tsfile/live/0130_1.m3u8
深圳卫视,http://123.13.24.224:9992/tsfile/live/0126_1.m3u8
湖北卫视,http://123.13.24.224:9992/tsfile/live/0132_1.m3u8
黑龙江卫视,http://123.13.24.224:9992/tsfile/live/0143_1.m3u8
东南卫视,http://123.13.24.224:9992/tsfile/live/0137_1.m3u8
辽宁卫视,http://123.13.24.224:9992/tsfile/live/0121_1.m3u8
广东卫视,http://123.13.24.224:9992/tsfile/live/0125_1.m3u8
云南卫视,http://123.13.24.224:9992/tsfile/live/0119_1.m3u8
贵州卫视,http://123.13.24.224:9992/tsfile/live/0120_1.m3u8
四川卫视,http://123.13.24.224:9992/tsfile/live/0123_1.m3u8
重庆卫视,http://123.13.24.224:9992/tsfile/live/0142_1.m3u8
江西卫视,http://123.13.24.224:9992/tsfile/live/0138_1.m3u8
广西卫视,http://123.13.24.224:9992/tsfile/live/0113_1.m3u8
河北卫视,http://123.13.24.224:9992/tsfile/live/0117_1.m3u8
吉林卫视,http://123.13.24.224:9992/tsfile/live/0116_1.m3u8
旅游卫视,http://123.13.24.224:9992/tsfile/live/0114_1.m3u8
山西卫视,http://123.13.24.224:9992/tsfile/live/0118_1.m3u8
陕西卫视,http://123.13.24.224:9992/tsfile/live/0136_1.m3u8
甘肃卫视,http://123.13.24.224:9992/tsfile/live/0141_1.m3u8
宁夏卫视,http://123.13.24.224:9992/tsfile/live/0112_1.m3u8
西藏卫视,http://123.13.24.224:9992/tsfile/live/0111_1.m3u8
内蒙古卫视,http://123.13.24.224:9992/tsfile/live/0109_1.m3u8
青海卫视,http://123.13.24.224:9992/tsfile/live/0140_1.m3u8
新疆卫视,http://123.13.24.224:9992/tsfile/live/0110_1.m3u8
金鹰纪实,http://123.13.24.224:9992/tsfile/live/1067_1.m3u8
佳嘉卡通,http://123.13.24.224:9992/tsfile/live/1068_1.m3u8
金鹰卡通,http://123.13.24.224:9992/tsfile/live/1069_1.m3u8
炫动动画,http://123.13.24.224:9992/tsfile/live/1070_1.m3u8
优漫动画,http://123.13.24.224:9992/tsfile/live/1071_1.m3u8
新动漫,http://123.13.24.224:9992/tsfile/live/1072_1.m3u8
中国教育1,http://123.13.24.224:9992/tsfile/live/1073_1.m3u8
好学生,http://123.13.24.224:9992/tsfile/live/1074_1.m3u8
凤凰卫视,http://123.13.24.224:9992/tsfile/live/0108_1.m3u8
凤凰资讯,http://123.13.24.224:9992/tsfile/live/1076_1.m3u8
CHC家庭影院,http://123.13.24.224:9992/tsfile/live/1077_1.m3u8
CHC动作电影,http://123.13.24.224:9992/tsfile/live/1078_1.m3u8
CHC电影,http://123.13.24.224:9992/tsfile/live/1079_1.m3u8
IPTV经典电影,http://123.13.24.224:9992/tsfile/live/1080_1.m3u8
IPTV谍战剧场,http://123.13.24.224:9992/tsfile/live/1081_1.m3u8
IPTV热播剧场,http://123.13.24.224:9992/tsfile/live/1082_1.m3u8
都市剧场,http://123.13.24.224:9992/tsfile/live/1083_1.m3u8
爱大剧,http://123.13.24.224:9992/tsfile/live/1084_1.m3u8
乒羽,http://123.13.24.224:9992/tsfile/live/1085_1.m3u8
足球,http://123.13.24.224:9992/tsfile/live/1086_1.m3u8
IPTV野外,http://123.13.24.224:9992/tsfile/live/1087_1.m3u8
音乐现场,http://123.13.24.224:9992/tsfile/live/1088_1.m3u8
地理高,http://123.13.24.224:9992/tsfile/live/1089_1.m3u8
IPTV相声小品,http://123.13.24.224:9992/tsfile/live/1090_1.m3u8
魅力时尚,http://123.13.24.224:9992/tsfile/live/1091_1.m3u8
爱上4K,http://123.13.24.224:9992/tsfile/live/1092_1.m3u8
军事高,http://123.13.24.224:9992/tsfile/live/1093_1.m3u8
游戏风云,http://123.13.24.224:9992/tsfile/live/1094_1.m3u8
国学,http://123.13.24.224:9992/tsfile/live/1095_1.m3u8
环球旅游,http://123.13.24.224:9992/tsfile/live/1000_1.m3u8
美妆,http://123.13.24.224:9992/tsfile/live/1002_1.m3u8
收视指南,http://123.13.24.224:9992/tsfile/live/1001_1.m3u8
中国联通-吉林-酒店,#genre#
CCTV1,http://175.18.189.238:9902/tsfile/live/0001_1.m3u8
CCTV2,http://175.18.189.238:9902/tsfile/live/0002_1.m3u8
CCTV3,http://175.18.189.238:9902/tsfile/live/0003_1.m3u8
CCTV4,http://175.18.189.238:9902/tsfile/live/0004_1.m3u8
CCTV5,http://175.18.189.238:9902/tsfile/live/0005_1.m3u8
CCTV6,http://175.18.189.238:9902/tsfile/live/0006_1.m3u8
CCTV7,http://175.18.189.238:9902/tsfile/live/0007_1.m3u8
CCTV8,http://175.18.189.238:9902/tsfile/live/0008_1.m3u8
CCTV9,http://175.18.189.238:9902/tsfile/live/0009_1.m3u8
CCTV10,http://175.18.189.238:9902/tsfile/live/0010_1.m3u8
CCTV11,http://175.18.189.238:9902/tsfile/live/0011_1.m3u8
CCTV12,http://175.18.189.238:9902/tsfile/live/0012_1.m3u8
CCTV13,http://175.18.189.238:9902/tsfile/live/0013_1.m3u8
CCTV14,http://175.18.189.238:9902/tsfile/live/0014_1.m3u8
CCTV15,http://175.18.189.238:9902/tsfile/live/0015_1.m3u8
CCTV16,http://175.18.189.238:9902/tsfile/live/1061_1.m3u8
CCTV17,http://175.18.189.238:9902/tsfile/live/1042_1.m3u8
